"","Label","X.Msgs","Obs.","Port.","X.Raw","IV.Date","Lin_Flux","Lin_FluxCV","Exp_Flux","Exp_FluxCV","Sampling_Time"
"121","ExRes 16",0,7,7,93,"10/5/21 19:01",0,7.3,0,7.1,"W2"
"122","ExRes 5",1,8,8,91,"10/5/21 19:03",-0.01,9.3,0,0,"W2"
"123","ExRes 20",0,9,9,92,"10/5/21 19:06",-0.01,7.9,-0.01,7.9,"W2"
"124","ExRes 11",0,10,10,92,"10/5/21 19:08",0,8.5,0,6.6,"W2"
"125","ExRes 8",0,11,11,92,"10/5/21 19:10",0,36.8,0,36.8,"W2"
"126","Dummy",0,1,1,92,"10/5/21 20:03",0,8.1,0,8,"W2"
"127","ExRes 38",0,2,2,92,"10/5/21 20:05",-0.01,8.6,-0.01,8.6,"W2"
"128","ExRes 28",0,3,3,93,"10/5/21 20:07",0,10.5,0,10.5,"W2"
"129","ExRes 26",0,4,4,93,"10/5/21 20:10",0,12.6,0,12.4,"W2"
"130","ExRes 10",1,5,5,91,"10/5/21 20:12",0,9.3,0,0,"W2"
"131","ExRes 32",0,6,6,92,"10/5/21 20:14",-0.09,9.5,-0.09,9.5,"W2"
"132","ExRes 27",0,7,7,92,"10/5/21 20:17",0.26,2.8,0.28,2.6,"W2"
"133","ExRes 9",0,8,8,92,"10/5/21 20:19",-0.01,7.8,-0.01,7.8,"W2"
"134","ExRes 41",0,9,9,93,"10/5/21 20:21",-0.01,6.9,-0.01,6.9,"W2"
"135","ExRes 35",0,10,10,93,"10/5/21 20:24",-0.02,3.9,-0.02,3.9,"W2"
"136","ExRes 42",0,11,11,93,"10/5/21 20:26",-0.02,6.6,-0.02,6.6,"W2"
"137","Dummy",0,1,1,93,"10/11/21 17:21",0,25.6,0,8.3,"W3"
"138","ExRes 37",0,2,2,92,"10/11/21 17:24",0.04,3.3,0.06,2.3,"W3"
"139","ExRes 24",0,3,3,92,"10/11/21 17:26",-0.17,4.6,-0.17,4.6,"W3"
"140","ExRes 17",0,4,4,92,"10/11/21 17:28",0.06,3.3,0.08,2.3,"W3"
"141","ExRes 29",0,5,5,91,"10/11/21 17:31",0.62,2.8,0.82,2.2,"W3"
"142","ExRes 13",0,6,6,92,"10/11/21 17:33",0.04,5.7,0.07,2.4,"W3"
"143","ExRes 43",0,7,7,91,"10/11/21 17:35",-0.01,77.8,-0.01,77.8,"W3"
"144","ExRes 3",0,8,8,92,"10/11/21 17:37",0.03,19.5,0.29,2.3,"W3"
"145","ExRes 25",0,9,9,92,"10/11/21 17:40",-0.03,8.9,-0.03,8.9,"W3"
"146","ExRes 21",0,10,10,92,"10/11/21 17:42",-0.01,16.1,-0.01,16.1,"W3"
"147","ExRes 33",0,11,11,93,"10/11/21 17:44",-0.01,6.8,-0.04,2.7,"W3"
"148","Dummy",0,1,1,92,"10/11/21 18:23",0,10.4,0,10.4,"W3"
"149","ExRes 1",1,2,2,91,"10/11/21 18:25",0,15.2,0,0,"W3"
"150","ExRes 14",0,3,3,93,"10/11/21 18:28",0,16.5,0,16.5,"W3"
"151","ExRes 4",1,4,4,91,"10/11/21 18:30",0,10,0,0,"W3"
"152","ExRes 15",0,5,5,92,"10/11/21 18:32",0,12.4,0,12.4,"W3"
"153","ExRes 12",0,6,6,92,"10/11/21 18:34",0,10.7,0,10.7,"W3"
"154","ExRes 2",0,7,7,93,"10/11/21 18:37",0,8,0,8,"W3"
"155","ExRes 34",0,8,8,92,"10/11/21 18:39",0,10,0,10,"W3"
"156","ExRes 30",0,9,9,92,"10/11/21 18:41",0,22,0,17.7,"W3"
