"","Sample_ID","n.bacterivore_biomass","n.fungivore_biomass","n.herbivore_biomass","n.omnivore_biomass","n.predator_biomass","total_microfauna_biomass"
"64","ExRes 38",0.00013154138185101,0.000661043031372886,6.37945827592373e-07,0.000143106052484402,0.000380531929501799,0.0013162223952101
"65","ExRes 39",0.000884093579307644,0.00444289007351905,4.28765307300282e-06,0.000961820078071132,0.00255756653047132,0.00884637026136915
"66","ExRes 39",0.000432760092392187,0.00217477602338223,2.09878816388583e-06,0.000470806886954987,0.00125191807058785,0.00433026107331725
"67","ExRes 4",0.000726609537843672,0.00365147579234546,3.5238912381293e-06,0.000790490575628126,0.00210198589629565,0.00727056180211292
"68","ExRes 4",0.000144223065167458,0.000724773077875754,6.99449111537952e-07,0.000156902666239987,0.000417218372610668,0.00144311718189387
"69","ExRes 40",0.00413259174648588,0.0207677685689648,2.00421314168604e-05,0.00449591514888497,0.0119550447851815,0.0413513202495172
"70","ExRes 40",0.0011723664529038,0.00589156555147938,5.68571104024408e-06,0.00127543692166949,0.00339150206671816,0.0117308709927708
"71","ExRes 41",0.00022712693266832,0.00114139500410257,1.10151404060605e-06,0.000247095159634773,0.000657048365418533,0.0022726654618242
"72","ExRes 41",0.00142243053594821,0.00714822803416782,6.89846505091414e-06,0.00154748578788218,0.00411490459359573,0.0142330489515939
"73","ExRes 42",0.00404511819893507,0.0203281823473192,1.96179045773708e-05,0.00440075122472168,0.0117019953085721,0.0404760470795481
"74","ExRes 42",0.000989692301545691,0.00497356185509124,4.79978289331405e-06,0.00107670268059693,0.00286304975529925,0.00990300659253311
"75","ExRes 43",0.00122070402357737,0.00613447933114038,5.92013728005722e-06,0.00132802416705525,0.0035313363057767,0.0122145438275497
"76","ExRes 43",0.000285879162430297,0.00143664621338182,1.386449011723e-06,0.000311012685493033,0.000827010844444192,0.00286054890574934
"77","ExRes 44",0.00563122391828846,0.0282989373906774,2.73101570955021e-05,0.00612630196111798,0.0162903906962913,0.0563468539663751
"78","ExRes 44",0.00217982861353102,0.0109544273770364,1.05716737143879e-05,0.00237147172688438,0.00630595768888696,0.0218116854063388
"79","ExRes 45",0.00137090783897849,0.0068893078425893,6.64859167193927e-06,0.00149143339073588,0.00396585620277657,0.0137175052750802
"80","ExRes 45",0.00482962027676826,0.0242705890968283,2.34225614864649e-05,0.00525422405543649,0.0139714567143688,0.0483258901434019
"81","ExRes 5",0.00368056856616594,0.0184961885599609,1.7849921651368e-05,0.00400415162886736,0.0106474011329238,0.036828309887918
"82","ExRes 5",0.0147015969131685,0.0738808430681584,7.12994061467566e-05,0.0159941112815994,0.0425297876713977,0.147106338934324
"83","ExRes 6",0.00325371476872644,0.0163510938054293,1.57797776766231e-05,0.00353977029821712,0.00941256919738274,0.0325571480697556
"84","ExRes 6",0.000348429298068343,0.00175098327365227,1.68980296379586e-06,0.000379062016187031,0.00100796016601894,0.00348643475392659
"85","ExRes 7",0.000953675018419819,0.00479256197745342,4.62510725004471e-06,0.00103751888051192,0.00275885648888805,0.0095426123652732
"86","ExRes 7",0.000179280943410514,0.000900951598894638,8.69471859016237e-07,0.000195042713829916,0.000518636206788353,0.00179391146292342
"87","ExRes 8",0.00141236300305773,0.00709763503927358,6.84963980283437e-06,0.00153653315176159,0.00408578054409717,0.0141323117381901
