"","Sample_ID","collembola_biomass","juv_oribatids_biomass","oribatids_biomass","prostigs_biomass","astigmata_biomass","zerconidae_biomass","mesostigs_biomass","total_mesofauna_biomass"
"32","ExRes 23",0,1.64239117924091,1.26065126586201,0.206592617595779,0,0,0.0198059538753247,3.12944101657403
"33","ExRes 24",0,0.892163109711111,2.44472964001982,0.353502923441667,0.00707738749518519,0.0358905431211111,0.056483646237037,3.78984725002593
"34","ExRes 24",0,0.23755822447929,0.650963513614744,0.0941279973661243,0.00188451146321499,0.00955665349378698,0.0150400241459566,1.00913092456312
"35","ExRes 25",0,0.739054357510095,1.89067745668711,0.264497436779394,0.00226947104952494,0.0345265319811164,0,2.93102525400725
"36","ExRes 25",0,1.7095707940206,4.37349016079821,0.611831982879808,0.00524971050467033,0.0798663184837912,0,6.78000896668709
"37","ExRes 26",0,1.32102460454467,2.1983533397929,0.0935743032639706,0.00140506957625,0,0,3.61435731717779
"38","ExRes 26",0,5.61435456931484,9.34300169411984,0.397690788871875,0.0059715456990625,0,0,15.3610185980056
"39","ExRes 27",0,1.11094738375286,2.66757657173244,0.607161509728053,0.0364674546507634,0.0739728751351145,0,4.49612579499924
"40","ExRes 27",0,0.262223616705631,0.629644199814324,0.143311995989865,0.00860763344009009,0.0174602642210811,0,1.06124771017099
"41","ExRes 28",0,0.535673777249298,1.41787855857065,0.268106149801264,0.0375737706907303,0.0544407114758427,0,2.31367296778778
"42","ExRes 28",0,0.148984269297461,0.394347474102461,0.0745670229134766,0.0104502049733594,0.0151413228792187,0,0.643490294165977
"43","ExRes 29",0,1.07803042423426,1.72569151060222,0.589171539069444,0.0283095499807407,0.0358905431211111,0,3.45709356700778
"44","ExRes 29",0,0.283140286520671,0.453245824769066,0.154743497615516,0.00743538764085603,0.00942650451624514,0,0.907991501062354
"45","ExRes 3",0.119220140581081,1.28329594912968,2.42170846082432,0.496079986118763,0.0417139159019751,0.0805858348665281,0.0634119936964657,4.50601628111882
"46","ExRes 3",0.309972365510811,3.33656946773716,6.29644199814324,1.28980796390878,0.108456181345135,0.209523170652973,0.164871183610811,11.7156423309089
"47","ExRes 30",0.00504796545946303,1.16625195239525,1.81152035774045,0.308070329407791,0.00336425109806338,0.00853032274885563,0,3.30278517884987
"48","ExRes 30",0.00340123888609134,0.785802027236655,1.22057362182275,0.207572890988879,0.00226677891304864,0.00574759587348754,0,2.22536415372091
"49","ExRes 31",0,3.32772068996524,2.69927682808102,0.340270193687166,0,0,0,6.36726771173342
"50","ExRes 31",0,1.00530495803473,0.815451965833845,0.102795680483845,0,0,0,1.92355260435242
"51","ExRes 32",0.087952281625,2.40145131525,6.43164167295,0.878335484625,0.01758491985,0.1783517787,0.140342802,10.135660255
"52","ExRes 32",0.0223305637147586,0.609714274744159,1.63295575185491,0.223004180675818,0.00446470706471963,0.0452824609471963,0.0356322067383178,2.57338414573988
"53","ExRes 33",0.00962162543951342,0.429428342446938,0.651477499807886,0.133453284856334,0.00320619903305369,0,0.0383823435,1.26556929508372
